Draw Date,Winning Numbers,Cash Ball
2/22/16,08 09 10 11 27,4
2/25/16,02 16 19 33 39,3
2/29/16,03 17 26 47 58,1
3/3/16,07 13 35 40 45,4
3/7/16,09 21 24 37 38,2
3/10/16,06 12 21 40 57,1
3/14/16,17 28 37 38 41,1
3/17/16,11 16 34 44 56,1
3/21/16,13 30 41 50 55,1
3/24/16,17 24 30 45 48,3
3/28/16,20 33 49 53 56,4
3/31/16,09 17 28 38 45,1
4/4/16,05 26 32 36 58,4
4/7/16,02 11 32 50 54,2
4/11/16,15 30 34 38 55,2
4/14/16,24 25 48 55 56,2
4/18/16,06 25 29 33 44,2
4/21/16,06 12 20 40 53,4
4/25/16,02 18 27 52 57,4
4/28/16,04 14 22 47 58,3
5/2/16,10 14 30 55 56,1
5/5/16,17 18 30 43 49,4
5/9/16,20 23 38 48 56,3
5/12/16,04 13 15 16 32,4
5/16/16,04 20 25 32 45,3
5/19/16,10 18 37 40 57,4
5/23/16,04 19 26 33 58,2
5/26/16,04 13 26 34 43,3
5/30/16,05 07 27 28 36,4
6/2/16,18 28 30 31 37,2
6/6/16,18 25 35 41 57,2
6/9/16,01 04 12 33 41,2
6/13/16,35 40 51 55 60,1
6/16/16,03 17 22 57 59,2
6/20/16,01 12 14 32 60,3
6/23/16,01 09 36 38 46,1
6/27/16,02 03 09 27 37,1
6/30/16,04 09 10 31 34,3
7/4/16,02 15 17 18 52,1
7/7/16,04 08 26 41 55,3
7/11/16,16 20 25 27 43,3
7/14/16,03 08 11 24 25,2
7/18/16,13 45 51 58 60,1
7/21/16,01 04 18 29 32,1
7/25/16,11 12 23 26 43,2
7/28/16,13 19 32 36 41,2
8/1/16,32 34 36 39 46,1
8/4/16,08 22 41 54 56,1
8/8/16,04 07 08 12 23,1
8/11/16,03 34 44 53 55,4
8/15/16,13 40 48 50 57,4
8/18/16,07 24 25 56 58,3
8/22/16,08 12 22 56 58,1
8/25/16,10 17 24 47 59,2
8/29/16,05 21 25 31 55,4
9/1/16,17 45 46 51 53,2
9/5/16,16 19 40 41 43,3
9/8/16,03 07 22 37 60,2
9/12/16,01 32 39 55 58,2
9/15/16,11 20 54 59 60,2
9/19/16,19 40 49 54 56,4
9/22/16,01 03 24 42 59,1
9/26/16,36 44 50 54 60,4
9/29/16,13 25 39 51 55,3
10/3/16,05 48 49 52 58,2
10/6/16,05 07 09 12 43,2
10/10/16,11 35 38 45 58,1
10/13/16,03 19 21 26 43,3
10/17/16,04 16 35 37 55,4
10/20/16,06 38 40 48 57,2
10/24/16,01 02 20 40 55,4
10/27/16,15 16 19 37 40,4
10/31/16,17 25 38 41 58,3
11/3/16,05 10 29 37 59,4
11/7/16,09 11 20 37 60,2
11/10/16,06 07 17 20 44,2
11/14/16,03 10 20 30 43,1
11/17/16,06 30 32 35 48,1
11/21/16,08 11 37 41 54,4
11/24/16,04 24 25 32 46,1
11/28/16,22 32 42 45 49,4
12/1/16,17 23 30 49 55,1
12/5/16,05 06 19 22 45,4
12/8/16,08 28 29 49 57,3
12/12/16,14 19 48 53 54,4
12/15/16,05 07 21 44 57,2
12/19/16,01 08 16 22 47,3
12/22/16,14 19 32 38 43,3
12/26/16,04 12 29 31 36,1
12/29/16,11 16 19 29 34,1
1/2/17,26 31 37 38 41,2
1/5/17,05 18 42 44 46,4
1/9/17,21 28 31 44 51,1
1/12/17,06 32 37 50 56,1
1/16/17,03 15 16 19 26,1
1/19/17,14 32 37 43 45,2
1/23/17,16 24 32 44 48,1
1/26/17,01 14 25 40 59,2
1/30/17,11 20 31 34 51,3
2/2/17,13 20 24 37 58,2
2/6/17,06 24 48 54 59,2
2/9/17,02 28 37 38 48,4
2/13/17,17 18 24 25 41,1
2/16/17,08 12 19 35 42,4
2/20/17,13 16 23 37 48,3
2/23/17,03 24 38 43 52,3
2/27/17,06 19 28 57 60,1
3/2/17,03 07 11 30 42,3
3/6/17,01 05 14 22 50,2
